video_id,time_bin,time_bin_start,time_bin_end,individual_id,behavior,count_frames,total_duration_sec,percent_time,mean_confidence
IMG_1561,150-180 sec,150.0,180.0,meerkat_198,social_contact,9,3.0,10.0,0.7
IMG_1561,150-180 sec,150.0,180.0,meerkat_199,social_contact,7,2.3333333333333335,7.78,0.7
IMG_1561,150-180 sec,150.0,180.0,meerkat_2,social_contact,3,1.0,3.33,0.6999999999999998
IMG_1561,150-180 sec,150.0,180.0,meerkat_200,social_contact,2,0.6666666666666666,2.22,0.7
IMG_1561,150-180 sec,150.0,180.0,meerkat_201,social_contact,2,0.6666666666666666,2.22,0.7
IMG_1561,150-180 sec,150.0,180.0,meerkat_211,inactive,3,1.0,3.33,0.75
IMG_1561,150-180 sec,150.0,180.0,meerkat_3,active_movement,1,0.3333333333333333,1.11,0.8
IMG_1561,150-180 sec,150.0,180.0,meerkat_3,social_contact,1,0.3333333333333333,1.11,0.7
IMG_1561,180-210 sec,180.0,210.0,focal_group,out_of_view,82,27.333333333333332,91.11,1.0
IMG_1561,180-210 sec,180.0,210.0,meerkat_0,active_movement,2,0.6666666666666666,2.22,0.8
IMG_1561,180-210 sec,180.0,210.0,meerkat_0,exploratory,2,0.6666666666666666,2.22,0.7
IMG_1561,180-210 sec,180.0,210.0,meerkat_0,social_contact,1,0.3333333333333333,1.11,0.7
IMG_1561,180-210 sec,180.0,210.0,meerkat_1,social_contact,1,0.3333333333333333,1.11,0.7
IMG_1561,180-210 sec,180.0,210.0,meerkat_213,inactive,1,0.3333333333333333,1.11,0.75
IMG_1561,180-210 sec,180.0,210.0,meerkat_216,inactive,1,0.3333333333333333,1.11,0.75
IMG_1561,180-210 sec,180.0,210.0,meerkat_216,social_contact,1,0.3333333333333333,1.11,0.7
IMG_1561,180-210 sec,180.0,210.0,meerkat_217,exploratory,1,0.3333333333333333,1.11,0.7
IMG_1561,180-210 sec,180.0,210.0,meerkat_217,inactive,2,0.6666666666666666,2.22,0.75
IMG_1561,180-210 sec,180.0,210.0,meerkat_217,social_contact,1,0.3333333333333333,1.11,0.7
IMG_1561,210-240 sec,210.0,240.0,focal_group,out_of_view,94,31.333333333333332,104.44,1.0
IMG_1561,240-270 sec,240.0,270.0,focal_group,out_of_view,62,20.666666666666668,68.89,1.0
IMG_1561,240-270 sec,240.0,270.0,meerkat_0,active_movement,7,2.3333333333333335,7.78,0.8
IMG_1561,240-270 sec,240.0,270.0,meerkat_0,exploratory,2,0.6666666666666666,2.22,0.7
IMG_1561,240-270 sec,240.0,270.0,meerkat_0,social_contact,1,0.3333333333333333,1.11,0.7
IMG_1561,240-270 sec,240.0,270.0,meerkat_1,social_contact,1,0.3333333333333333,1.11,0.7
IMG_1561,240-270 sec,240.0,270.0,meerkat_2,social_contact,1,0.3333333333333333,1.11,0.7
IMG_1561,240-270 sec,240.0,270.0,meerkat_225,inactive,2,0.6666666666666666,2.22,0.75
IMG_1561,240-270 sec,240.0,270.0,meerkat_225,social_contact,14,4.666666666666667,15.56,0.7
IMG_1561,240-270 sec,240.0,270.0,meerkat_228,social_contact,14,4.666666666666667,15.56,0.7
IMG_1561,240-270 sec,240.0,270.0,meerkat_230,inactive,6,2.0,6.67,0.75
IMG_1561,270-300 sec,270.0,300.0,focal_group,out_of_view,66,22.0,73.33,1.0
IMG_1561,270-300 sec,270.0,300.0,meerkat_0,active_movement,8,2.6666666666666665,8.89,0.8
IMG_1561,270-300 sec,270.0,300.0,meerkat_0,exploratory,7,2.3333333333333335,7.78,0.7
IMG_1561,270-300 sec,270.0,300.0,meerkat_0,inactive,4,1.3333333333333333,4.44,0.75
IMG_1561,270-300 sec,270.0,300.0,meerkat_0,social_contact,2,0.6666666666666666,2.22,0.7
IMG_1561,270-300 sec,270.0,300.0,meerkat_1,social_contact,2,0.6666666666666666,2.22,0.7
IMG_1561,270-300 sec,270.0,300.0,meerkat_236,inactive,4,1.3333333333333333,4.44,0.75
IMG_1561,270-300 sec,270.0,300.0,meerkat_237,inactive,1,0.3333333333333333,1.11,0.75
IMG_1561,270-300 sec,270.0,300.0,meerkat_240,inactive,1,0.3333333333333333,1.11,0.75
IMG_1561,300-330 sec,300.0,330.0,focal_group,out_of_view,37,12.333333333333334,41.11,1.0
IMG_1561,300-330 sec,300.0,330.0,meerkat_0,active_movement,11,3.6666666666666665,12.22,0.8
IMG_1561,300-330 sec,300.0,330.0,meerkat_0,exploratory,2,0.6666666666666666,2.22,0.7
IMG_1561,300-330 sec,300.0,330.0,meerkat_0,inactive,9,3.0,10.0,0.75
IMG_1561,300-330 sec,300.0,330.0,meerkat_0,olfactory_interest,1,0.3333333333333333,1.11,0.85
IMG_1561,300-330 sec,300.0,330.0,meerkat_0,social_contact,3,1.0,3.33,0.6999999999999998
IMG_1561,300-330 sec,300.0,330.0,meerkat_1,active_movement,3,1.0,3.33,0.8000000000000002
IMG_1561,300-330 sec,300.0,330.0,meerkat_1,social_contact,2,0.6666666666666666,2.22,0.7
IMG_1561,300-330 sec,300.0,330.0,meerkat_2,social_contact,1,0.3333333333333333,1.11,0.7
IMG_1561,300-330 sec,300.0,330.0,meerkat_249,inactive,31,10.333333333333334,34.44,0.75
IMG_1561,330-360 sec,330.0,360.0,meerkat_249,inactive,75,25.0,83.33,0.75
IMG_1561,330-360 sec,330.0,360.0,meerkat_249,social_contact,19,6.333333333333333,21.11,0.7
IMG_1561,330-360 sec,330.0,360.0,meerkat_264,exploratory,2,0.6666666666666666,2.22,0.7
IMG_1561,330-360 sec,330.0,360.0,meerkat_264,social_contact,19,6.333333333333333,21.11,0.7
IMG_1561,360-390 sec,360.0,390.0,focal_group,out_of_view,24,8.0,26.67,1.0
IMG_1561,360-390 sec,360.0,390.0,meerkat_0,active_movement,5,1.6666666666666667,5.56,0.8
IMG_1561,360-390 sec,360.0,390.0,meerkat_0,exploratory,3,1.0,3.33,0.6999999999999998
IMG_1561,360-390 sec,360.0,390.0,meerkat_0,inactive,1,0.3333333333333333,1.11,0.75
IMG_1561,360-390 sec,360.0,390.0,meerkat_0,social_contact,1,0.3333333333333333,1.11,0.7
IMG_1561,360-390 sec,360.0,390.0,meerkat_1,active_movement,2,0.6666666666666666,2.22,0.8
IMG_1561,360-390 sec,360.0,390.0,meerkat_1,social_contact,1,0.3333333333333333,1.11,0.7
IMG_1561,360-390 sec,360.0,390.0,meerkat_249,inactive,51,17.0,56.67,0.75
IMG_1561,360-390 sec,360.0,390.0,meerkat_284,active_movement,1,0.3333333333333333,1.11,0.8
IMG_1561,360-390 sec,360.0,390.0,meerkat_284,exploratory,1,0.3333333333333333,1.11,0.7
IMG_1561,360-390 sec,360.0,390.0,meerkat_284,inactive,4,1.3333333333333333,4.44,0.75
IMG_1561,360-390 sec,360.0,390.0,meerkat_286,exploratory,3,1.0,3.33,0.6999999999999998
IMG_1561,360-390 sec,360.0,390.0,meerkat_286,inactive,4,1.3333333333333333,4.44,0.75
IMG_1561,390-420 sec,390.0,420.0,focal_group,out_of_view,93,31.0,103.33,1.0
IMG_1561,420-450 sec,420.0,450.0,focal_group,out_of_view,29,9.666666666666666,32.22,1.0
IMG_1561,420-450 sec,420.0,450.0,meerkat_0,active_movement,1,0.3333333333333333,1.11,0.8
IMG_1561,420-450 sec,420.0,450.0,meerkat_0,exploratory,5,1.6666666666666667,5.56,0.7
